transaction_id,client_id,transaction_amount,transaction_date,country
25328,32,1984000,5/13/2024,SPAIN
25329,4,1100000,3/28/2024,CANADA
25330,19,1880000,7/27/2023,BRAZIL
25331,58,584000,7/17/2024,BRAZIL
25332,2,1531000,1/29/2024,GERMANY
25333,56,578000,5/20/2024,INDIA
25334,70,1702000,11/16/2024,SPAIN
25335,65,1323000,9/10/2024,FRANCE
25336,70,1379000,12/7/2024,CANADA
25337,64,1670000,10/4/2024,JAPAN
25338,44,1906000,5/19/2024,JAPAN
25339,30,1266000,9/2/2023,ISRAEL
25340,50,207000,9/25/2024,GERMANY
25341,25,424000,12/8/2024,BRAZIL
25342,27,1354000,1/15/2025,INDIA
25343,25,889000,1/9/2025,JAPAN
25344,49,1733000,4/20/2023,JAPAN
25345,7,701000,5/6/2024,CHINA
25346,43,1302000,7/18/2024,BRAZIL
25347,16,403000,6/14/2024,CANADA
25348,37,914000,5/29/2023,INDIA
25349,40,857000,2/11/2024,CHINA
25350,51,1034000,10/14/2023,SPAIN
25351,27,561000,11/15/2023,GERMANY
25352,4,1308000,10/7/2023,GERMANY
25353,11,104000,10/26/2023,SPAIN
25354,32,1089000,5/17/2023,BRAZIL
25355,25,219000,6/9/2023,FRANCE
25356,32,1942000,3/18/2023,JAPAN
25357,21,1935000,1/19/2024,BRAZIL
25358,47,1201000,10/13/2024,INDIA
25359,59,1891000,10/6/2023,BRAZIL
25360,11,523000,7/5/2023,NORTH KOREA
25361,73,590000,10/13/2023,FRANCE
25362,5,1292000,2/17/2023,JAPAN
25363,37,1752000,9/16/2023,CANADA
25364,75,1600000,2/18/2023,CHINA
25365,56,1183000,12/11/2024,SPAIN
25366,29,1340000,10/22/2023,BRAZIL
25367,1,1936000,11/30/2023,SPAIN
25368,22,1748000,9/20/2023,ISRAEL
25369,74,1750000,8/9/2024,ISRAEL
25370,45,1125000,5/31/2024,INDIA
25371,36,187000,11/12/2024,BRAZIL
25372,17,258000,9/2/2024,GERMANY
25373,46,1906000,3/29/2024,JAPAN
25374,9,1157000,11/14/2024,FRANCE
25375,22,982000,1/15/2025,SPAIN
25376,14,796000,3/9/2024,FRANCE
25377,25,1065000,3/21/2024,BRAZIL
25378,21,1910000,6/7/2023,JAPAN
25379,73,868000,1/11/2024,GERMANY
25380,12,1776000,1/25/2024,GERMANY
25381,23,463000,1/30/2024,INDIA
25382,60,1529000,9/6/2024,INDIA
25383,40,1892000,9/23/2023,SPAIN
25384,6,870000,1/14/2025,SPAIN
25385,63,238000,3/9/2023,SPAIN
25386,63,1563000,7/21/2023,CHINA
25387,44,625000,7/12/2024,CANADA
25388,72,1391000,8/27/2024,BRAZIL
25389,27,349000,7/13/2023,INDIA
25390,24,1730000,5/15/2024,CHINA
25391,14,1691000,3/6/2023,BRAZIL
25392,52,630000,7/25/2023,NORTH KOREA
25393,42,188000,7/8/2023,INDIA
25394,16,559000,8/11/2023,ISRAEL
25395,71,210000,8/12/2024,CHINA
25396,2,64000,1/4/2024,JAPAN
25397,48,1652000,2/28/2023,INDIA
25398,55,188000,2/24/2023,FRANCE
25399,59,1866000,7/28/2023,SPAIN
25400,14,350000,6/10/2023,SPAIN
25401,68,1034000,12/6/2024,SPAIN
25402,17,30000,6/23/2024,JAPAN
25403,13,406000,9/30/2024,CHINA
25404,53,1865000,5/7/2024,GERMANY
25405,10,1996000,2/2/2024,ISRAEL
25406,31,419000,1/3/2024,JAPAN
25407,61,65000,2/20/2024,INDIA
25408,10,147000,11/27/2023,INDIA
25409,65,1633000,8/30/2023,FRANCE
25410,45,1155000,10/30/2023,CHINA
25411,47,1646000,4/17/2024,CHINA
25412,63,1708000,10/29/2024,BRAZIL
25413,47,331000,6/23/2023,FRANCE
25414,36,18000,12/5/2023,GERMANY
25415,30,1006000,7/30/2024,GERMANY
25416,42,985000,8/5/2024,CANADA
25417,25,1543000,2/17/2023,CANADA
25418,54,1723000,9/30/2024,JAPAN
25419,27,1784000,5/26/2023,BRAZIL
25420,65,1036000,10/26/2024,ISRAEL
25421,11,1499000,9/16/2024,GERMANY
25422,57,565000,2/25/2024,BRAZIL
25423,3,417000,5/15/2023,FRANCE
25424,19,753000,10/8/2024,FRANCE
25425,48,1445000,6/23/2023,NORTH KOREA
25426,49,496000,9/20/2024,FRANCE
25427,16,869000,12/15/2023,CANADA
25428,70,718000,1/6/2025,SPAIN
25429,6,1793000,10/13/2024,BRAZIL
25430,15,1175000,2/10/2024,INDIA
25431,33,330000,9/2/2024,CHINA
25432,29,1137000,3/20/2023,INDIA
25433,39,241000,12/22/2024,INDIA
25434,73,494000,8/20/2024,CANADA
25435,50,995000,10/11/2023,BRAZIL
25436,21,1493000,3/9/2023,INDIA
25437,32,709000,5/6/2024,CHINA
25438,15,563000,7/30/2023,SPAIN
25439,63,201000,12/21/2024,FRANCE
25440,64,1467000,5/22/2024,BRAZIL
25441,74,1988000,12/16/2024,CHINA
25442,48,1184000,7/5/2023,BRAZIL
25443,55,402000,5/24/2024,CANADA
25444,3,1779000,9/24/2023,JAPAN
25445,23,1984000,12/10/2024,GERMANY
25446,10,1718000,7/6/2024,CANADA
25447,18,604000,11/30/2024,SPAIN
25448,58,916000,4/6/2024,CANADA
25449,68,1636000,2/9/2024,JAPAN
25450,23,1570000,9/23/2023,CHINA
25451,20,434000,7/28/2023,INDIA
25452,9,1598000,6/29/2024,BRAZIL
25453,47,1960000,9/18/2023,JAPAN
25454,59,1146000,8/8/2023,GERMANY
25455,56,1316000,4/26/2023,CHINA
25456,4,1246000,7/8/2023,GERMANY
25457,26,218000,7/26/2024,NORTH KOREA
25458,30,464000,7/15/2024,CHINA
25459,1,1489000,12/20/2024,INDIA
25460,31,456000,1/18/2024,FRANCE
25461,3,21000,11/22/2024,ISRAEL
25462,33,396000,4/23/2024,CANADA
25463,60,1760000,5/20/2024,JAPAN
25464,35,605000,5/6/2023,CANADA
25465,68,156000,6/20/2024,SPAIN
25466,63,692000,10/17/2023,FRANCE
25467,54,1745000,10/24/2023,CANADA
25468,41,965000,8/3/2023,BRAZIL
25469,72,1870000,10/25/2024,FRANCE
25470,4,918000,4/20/2023,INDIA
25471,20,767000,6/18/2024,INDIA
25472,20,884000,5/1/2024,GERMANY
25473,36,1619000,3/19/2024,GERMANY
25474,7,1483000,4/23/2023,CANADA
25475,8,1039000,6/23/2023,JAPAN
25476,58,1400000,4/23/2024,CHINA
25477,57,1148000,11/19/2024,INDIA
25478,61,53000,9/27/2023,INDIA
25479,70,1089000,4/8/2023,INDIA
25480,3,1400000,3/2/2023,CANADA
25481,6,677000,5/15/2024,SPAIN
25482,72,1232000,2/8/2024,ISRAEL
25483,65,349000,3/4/2023,ISRAEL
25484,46,533000,12/24/2024,INDIA
25485,15,1301000,5/30/2024,BRAZIL
25486,69,1123000,2/17/2024,ISRAEL
25487,33,1301000,1/21/2024,INDIA
25488,64,1259000,12/28/2024,INDIA
25489,74,1515000,7/13/2023,JAPAN
25490,35,126000,10/3/2024,ISRAEL
25491,32,40000,3/7/2023,NORTH KOREA
25492,68,1679000,9/10/2023,FRANCE
25493,35,1025000,3/26/2023,CANADA
25494,73,1372000,4/30/2023,SPAIN
25495,50,1339000,9/17/2023,BRAZIL
25496,40,1345000,12/28/2023,BRAZIL
25497,36,1755000,7/22/2024,SPAIN
25498,15,1265000,11/30/2023,INDIA
25499,4,993000,1/2/2025,SPAIN
25500,68,394000,4/20/2024,GERMANY
25501,32,55000,10/7/2024,CANADA
25502,24,1612000,11/17/2024,JAPAN
25503,57,1619000,5/12/2023,INDIA
25504,30,1501000,7/25/2023,INDIA
25505,61,1341000,5/12/2024,SPAIN
25506,9,149000,5/14/2023,BRAZIL
25507,50,567000,6/28/2023,INDIA
25508,16,1289000,10/25/2024,CANADA
25509,35,1760000,4/17/2024,SPAIN
25510,18,1838000,7/16/2023,INDIA
25511,35,1003000,5/22/2024,GERMANY
25512,63,52000,5/30/2023,SPAIN
25513,4,426000,2/19/2023,BRAZIL
25514,38,1924000,8/19/2024,INDIA
25515,30,1337000,4/24/2023,CHINA
25516,50,1296000,6/8/2023,FRANCE
25517,6,1249000,11/3/2024,GERMANY
25518,11,990000,2/26/2024,FRANCE
25519,65,1748000,9/30/2024,CANADA
25520,3,920000,12/2/2023,FRANCE
25521,67,183000,6/7/2024,SPAIN
25522,19,587000,2/9/2024,CANADA
25523,41,136000,12/7/2023,GERMANY
25524,2,898000,9/17/2023,ISRAEL
25525,63,1156000,10/25/2024,NORTH KOREA
25526,53,1031000,1/10/2024,BRAZIL
25527,14,1788000,6/4/2023,GERMANY
25528,70,493000,9/12/2023,SPAIN
25529,65,541000,12/29/2023,FRANCE
25530,30,1685000,5/16/2023,FRANCE
25531,10,338000,3/7/2023,ISRAEL
25532,22,947000,12/19/2023,CANADA
25533,66,336000,6/4/2024,GERMANY
25534,37,308000,3/26/2024,JAPAN
25535,32,1636000,11/4/2024,JAPAN
25536,14,151000,11/12/2024,ISRAEL
25537,70,676000,5/5/2023,INDIA
25538,53,1245000,11/14/2023,CANADA
25539,3,647000,9/18/2024,ISRAEL
25540,59,1719000,10/24/2023,JAPAN
25541,61,1579000,11/7/2023,SPAIN
25542,75,546000,3/5/2023,SPAIN
25543,33,1819000,6/30/2024,FRANCE
25544,9,521000,5/29/2024,JAPAN
25545,69,1970000,9/6/2023,CANADA
25546,39,191000,1/19/2024,FRANCE
25547,27,1943000,10/7/2023,INDIA
25548,40,1872000,1/30/2024,CHINA
25549,57,830000,2/16/2023,BRAZIL
25550,38,587000,4/13/2024,CANADA
25551,7,320000,3/7/2024,ISRAEL
25552,2,294000,4/1/2024,FRANCE
25553,37,1935000,7/10/2024,SPAIN
25554,46,1735000,3/29/2024,CANADA
25555,66,1041000,3/30/2024,JAPAN
25556,16,610000,8/16/2023,ISRAEL
25557,25,1215000,10/4/2023,ISRAEL
25558,25,492000,1/24/2024,SPAIN
25559,70,1427000,10/8/2023,SPAIN
25560,61,1107000,6/18/2023,ISRAEL
25561,5,851000,12/11/2024,ISRAEL
25562,1,1295000,5/25/2023,SPAIN
25563,37,1589000,2/27/2023,NORTH KOREA
25564,3,545000,6/5/2023,INDIA
25565,10,584000,6/24/2023,SPAIN
25566,57,111000,8/6/2023,CHINA
25567,5,307000,5/25/2024,CHINA
25568,1,1394000,9/30/2024,JAPAN
25569,74,1445000,7/2/2023,CANADA
25570,62,372000,7/6/2024,ISRAEL
25571,41,290000,2/16/2024,INDIA
25572,39,1665000,9/7/2024,FRANCE
25573,62,14000,7/24/2024,FRANCE
25574,48,368000,7/11/2024,SPAIN
25575,6,208000,1/20/2024,BRAZIL
25576,39,1015000,12/18/2024,CHINA
25577,35,253000,5/24/2024,JAPAN
25578,25,1873000,12/3/2024,BRAZIL
25579,29,1079000,3/2/2024,CHINA
25580,44,676000,10/4/2024,CANADA
25581,46,649000,9/17/2023,JAPAN
25582,65,859000,9/9/2023,CHINA
25583,36,185000,3/22/2023,JAPAN
25584,31,1845000,11/8/2024,INDIA
25585,27,1858000,11/1/2024,FRANCE
25586,22,1793000,6/12/2023,INDIA
25587,73,820000,9/26/2023,CANADA
25588,10,1727000,11/11/2024,JAPAN
25589,73,1314000,7/21/2024,CANADA
25590,4,1820000,8/10/2023,ISRAEL
25591,71,431000,9/10/2024,ISRAEL
25592,14,81000,1/13/2025,ISRAEL
25593,15,476000,11/21/2023,FRANCE
25594,2,1504000,4/20/2023,BRAZIL
25595,19,1546000,10/13/2023,INDIA
25596,57,692000,6/2/2024,INDIA
25597,36,1503000,6/7/2023,GERMANY
25598,74,1181000,7/10/2023,ISRAEL
25599,28,1391000,7/11/2023,SPAIN
25600,2,1501000,7/12/2023,JAPAN
25601,9,275000,10/15/2024,ISRAEL
25602,19,1610000,10/8/2024,GERMANY
25603,63,1334000,9/9/2023,CHINA
25604,39,280000,1/14/2024,SPAIN
25605,46,1208000,4/23/2023,CHINA
25606,40,10000,1/25/2024,BRAZIL
25607,13,411000,1/26/2024,CHINA
25608,74,1389000,1/14/2025,FRANCE
25609,15,924000,12/27/2023,JAPAN
25610,39,633000,5/13/2023,GERMANY
25611,67,680000,12/21/2024,CHINA
25612,58,1853000,12/13/2024,SPAIN
25613,20,453000,1/13/2024,JAPAN
25614,38,1822000,4/1/2024,BRAZIL
25615,34,961000,6/3/2023,GERMANY
25616,9,404000,3/10/2023,FRANCE
25617,19,322000,8/1/2024,INDIA
25618,40,1194000,7/19/2024,NORTH KOREA
25619,13,513000,11/6/2024,INDIA
25620,46,680000,2/3/2024,GERMANY
25621,23,1244000,3/20/2024,ISRAEL
25622,22,1686000,11/10/2023,GERMANY
25623,30,129000,7/10/2024,GERMANY
25624,70,407000,12/16/2024,ISRAEL
25625,67,1273000,5/17/2023,ISRAEL
25626,69,1944000,2/9/2024,INDIA
25627,24,640000,8/17/2024,INDIA
25628,66,219000,3/6/2024,JAPAN
25629,14,759000,12/27/2024,SPAIN
25630,17,221000,6/21/2023,SPAIN
25631,20,90000,4/1/2024,ISRAEL
25632,38,168000,12/26/2023,JAPAN
25633,17,1068000,2/20/2023,JAPAN
25634,6,1262000,7/26/2023,BRAZIL
25635,1,1907000,3/7/2024,JAPAN
25636,67,1163000,11/25/2024,FRANCE
25637,69,747000,6/9/2023,BRAZIL
25638,22,1165000,7/20/2023,FRANCE
25639,62,924000,5/9/2023,CANADA
25640,23,1148000,8/15/2024,FRANCE
25641,23,1743000,8/1/2023,GERMANY
25642,45,104000,10/26/2024,ISRAEL
25643,69,331000,11/9/2024,SPAIN
25644,18,651000,12/3/2024,CHINA
25645,65,288000,5/30/2023,INDIA
25646,18,260000,7/18/2024,FRANCE
25647,24,214000,9/10/2024,FRANCE
25648,12,1924000,2/28/2024,FRANCE
25649,23,492000,11/29/2023,ISRAEL
25650,59,1009000,3/11/2024,CANADA
25651,53,872000,2/22/2024,CHINA
25652,43,1326000,11/19/2024,ISRAEL
25653,36,1406000,5/9/2024,CHINA
25654,58,1947000,4/29/2024,INDIA
25655,30,1320000,12/16/2023,JAPAN
25656,75,1510000,4/26/2023,BRAZIL
25657,20,1722000,10/15/2024,INDIA
25658,5,1542000,6/7/2023,GERMANY
25659,56,728000,10/14/2023,CANADA
25660,2,71000,2/27/2024,SPAIN
25661,59,477000,12/18/2024,INDIA
25662,12,751000,9/30/2024,JAPAN
25663,33,1473000,6/14/2023,FRANCE
25664,41,437000,12/30/2023,NORTH KOREA
25665,31,1920000,7/13/2023,CANADA
25666,23,625000,12/7/2024,FRANCE
25667,12,331000,8/22/2024,INDIA
25668,69,955000,6/9/2023,ISRAEL
25669,12,212000,5/12/2024,INDIA
25670,5,1548000,9/2/2024,CANADA
25671,34,1394000,12/28/2023,JAPAN
25672,74,595000,11/24/2024,GERMANY
25673,3,902000,12/24/2024,JAPAN
25674,3,1533000,11/10/2024,ISRAEL
25675,23,1744000,5/27/2024,SPAIN
25676,48,1949000,7/24/2024,SPAIN
25677,67,1883000,7/3/2023,INDIA
25678,5,1164000,1/19/2024,GERMANY
25679,64,472000,5/18/2024,SPAIN
25680,75,1621000,12/12/2024,BRAZIL
25681,49,1235000,12/19/2023,BRAZIL
25682,16,887000,3/16/2024,GERMANY
25683,62,600000,2/25/2023,SPAIN
25684,1,816000,11/9/2023,GERMANY
25685,39,760000,11/2/2024,INDIA
25686,21,1483000,9/23/2023,CHINA
25687,69,805000,10/21/2024,INDIA
25688,45,1438000,2/26/2024,BRAZIL
25689,54,414000,3/11/2023,JAPAN
25690,33,507000,10/24/2024,JAPAN
25691,13,257000,10/19/2024,FRANCE
25692,24,1688000,10/4/2023,INDIA
25693,70,500000,8/7/2023,JAPAN
25694,14,1589000,8/24/2024,CANADA
25695,16,535000,4/2/2024,CHINA
25696,31,578000,2/21/2024,BRAZIL
25697,51,240000,12/25/2023,FRANCE
25698,65,1554000,2/19/2023,NORTH KOREA
25699,27,1211000,1/15/2024,CHINA
25700,3,1544000,11/2/2023,JAPAN
25701,37,1014000,2/9/2024,INDIA
25702,63,245000,1/24/2024,JAPAN
25703,15,1134000,11/30/2024,FRANCE
25704,71,771000,12/20/2024,FRANCE
25705,71,1664000,1/13/2025,BRAZIL
25706,75,345000,4/1/2023,ISRAEL
25707,16,1446000,1/8/2025,INDIA
25708,54,1108000,5/23/2023,FRANCE
25709,19,1045000,2/21/2023,FRANCE
25710,67,1846000,8/25/2023,GERMANY
25711,37,905000,12/12/2024,GERMANY
25712,17,790000,8/1/2023,SPAIN
25713,34,1509000,7/18/2023,BRAZIL
25714,19,716000,10/24/2023,FRANCE
25715,58,322000,12/19/2023,CANADA
25716,52,1439000,11/11/2024,JAPAN
25717,40,1577000,10/5/2023,ISRAEL
25718,49,1893000,8/19/2023,SPAIN
25719,51,1528000,12/8/2023,SPAIN
25720,47,1263000,6/7/2024,INDIA
25721,74,326000,8/29/2024,SPAIN
25722,9,1222000,4/15/2024,FRANCE
25723,10,1644000,6/7/2023,BRAZIL
25724,66,1613000,10/7/2023,JAPAN
25725,58,170000,6/9/2024,CANADA
25726,63,1533000,3/4/2023,INDIA
25727,75,90000,2/19/2024,ISRAEL
25728,26,431000,10/15/2024,ISRAEL
25729,61,1724000,6/5/2024,INDIA
25730,26,1410000,2/7/2024,CANADA
25731,12,118000,11/8/2023,GERMANY
25732,72,1778000,12/27/2023,INDIA
25733,33,175000,1/12/2025,INDIA
25734,4,1048000,7/25/2024,FRANCE
25735,35,1247000,4/1/2024,CHINA
25736,18,428000,6/25/2024,CHINA
25737,14,750000,12/14/2024,ISRAEL
25738,60,1836000,6/27/2024,FRANCE
25739,14,494000,2/9/2024,CHINA
25740,11,1968000,7/9/2024,CHINA
25741,63,1103000,1/7/2025,SPAIN
25742,7,964000,2/22/2024,GERMANY
25743,46,1559000,9/16/2024,NORTH KOREA
25744,3,536000,5/11/2023,ISRAEL
25745,16,867000,11/13/2024,ISRAEL
25746,59,1440000,9/21/2023,SPAIN
25747,71,1349000,9/20/2023,SPAIN
25748,2,1611000,3/7/2023,FRANCE
25749,38,1106000,5/22/2023,FRANCE
25750,69,570000,8/24/2024,ISRAEL
25751,46,1632000,4/17/2023,JAPAN
25752,17,1560000,8/29/2024,INDIA
25753,17,946000,12/12/2023,CANADA
25754,48,1704000,1/8/2024,ISRAEL
25755,46,153000,4/8/2023,ISRAEL
25756,49,1591000,11/11/2023,FRANCE
25757,52,0,9/14/2024,INDIA
25758,19,1431000,12/19/2024,SPAIN
25759,74,1707000,8/13/2024,CHINA
25760,33,174000,5/6/2024,GERMANY
25761,55,596000,7/28/2024,ISRAEL
25762,1,801000,3/14/2024,JAPAN
25763,8,1850000,11/15/2023,CANADA
25764,19,792000,10/4/2023,CHINA
25765,43,687000,11/2/2023,INDIA
25766,19,215000,11/9/2024,FRANCE
25767,36,1558000,7/2/2023,CHINA
25768,36,1437000,3/29/2024,CHINA
25769,67,1855000,11/23/2023,CHINA
25770,42,389000,11/22/2024,SPAIN
25771,27,392000,10/1/2023,SPAIN
25772,24,224000,7/25/2023,CANADA
25773,48,185000,3/18/2023,FRANCE
25774,55,100000,8/20/2024,CANADA
25775,29,1458000,6/18/2023,BRAZIL
25776,73,1707000,7/25/2023,FRANCE
25777,70,1548000,6/10/2023,CHINA
25778,56,82000,5/19/2024,BRAZIL
25779,54,1362000,12/15/2023,CHINA
25780,37,835000,6/6/2023,GERMANY
25781,72,19000,1/4/2024,CANADA
25782,25,218000,10/13/2024,ISRAEL
25783,71,1022000,9/27/2024,CHINA
25784,44,521000,10/22/2023,SPAIN
25785,72,1553000,10/12/2024,CANADA
25786,61,1729000,7/6/2023,INDIA
25787,69,855000,7/12/2023,JAPAN
25788,63,1814000,8/14/2024,CANADA
25789,27,1637000,8/13/2023,CANADA
25790,24,1637000,1/9/2024,BRAZIL
25791,65,1673000,7/4/2024,NORTH KOREA
25792,31,1180000,6/14/2024,FRANCE
25793,69,871000,10/22/2024,JAPAN
25794,3,1646000,5/16/2024,INDIA
25795,54,936000,4/27/2024,ISRAEL
25796,23,954000,9/8/2024,BRAZIL
25797,15,1368000,6/28/2023,SPAIN
25798,63,1856000,4/11/2023,ISRAEL
25799,59,563000,4/10/2023,GERMANY
25800,24,295000,7/11/2024,GERMANY
25801,4,916000,1/14/2025,SPAIN
25802,13,53000,9/1/2024,CHINA
25803,71,515000,6/7/2024,BRAZIL
25804,48,1957000,9/6/2023,BRAZIL
25805,2,1538000,12/31/2024,FRANCE
25806,10,22000,5/26/2024,SPAIN
25807,49,75000,2/26/2023,FRANCE
25808,61,1502000,9/4/2024,CANADA
25809,65,801000,1/7/2024,CHINA
25810,62,850000,11/14/2023,JAPAN
25811,50,1464000,11/24/2024,ISRAEL
25812,63,280000,12/4/2024,INDIA
25813,3,491000,4/29/2024,GERMANY
25814,2,340000,12/7/2023,CHINA
25815,14,705000,11/14/2023,CHINA
25816,29,612000,10/19/2023,FRANCE
25817,23,1636000,4/20/2023,FRANCE
25818,4,1760000,7/4/2024,INDIA
25819,26,983000,9/2/2023,ISRAEL
25820,46,1785000,4/15/2023,SPAIN
25821,17,1354000,11/20/2024,FRANCE
25822,1,484000,4/14/2023,BRAZIL
25823,56,1509000,1/14/2024,FRANCE
25824,1,1212000,4/10/2023,BRAZIL
25825,44,70000,10/15/2024,SPAIN
25826,50,1802000,11/8/2023,ISRAEL
25827,53,1375000,1/7/2025,ISRAEL
25828,55,666000,11/3/2023,SPAIN
25829,31,88000,6/13/2024,ISRAEL
25830,19,1171000,6/19/2023,BRAZIL
25831,3,645000,4/7/2023,CANADA
25832,29,1946000,4/3/2024,JAPAN
25833,71,397000,12/1/2024,INDIA
25834,26,284000,7/5/2024,ISRAEL
25835,55,1264000,4/15/2023,JAPAN
25836,39,126000,3/21/2023,NORTH KOREA
25837,34,1227000,8/8/2024,INDIA
25838,41,1627000,9/28/2024,CANADA
25839,74,1954000,1/6/2025,CANADA
25840,16,882000,8/26/2023,GERMANY
25841,15,1985000,4/12/2023,CHINA
25842,23,689000,9/30/2023,INDIA
25843,60,1337000,10/22/2023,JAPAN
25844,54,1562000,7/8/2024,CHINA
25845,33,1659000,3/11/2023,FRANCE
25846,48,697000,12/3/2023,INDIA
25847,7,1067000,5/11/2023,JAPAN
25848,4,23000,9/26/2023,CHINA
25849,16,346000,1/30/2024,ISRAEL
25850,41,902000,1/3/2025,SPAIN
25851,42,1065000,2/12/2024,ISRAEL
25852,51,1745000,5/31/2023,FRANCE
25853,17,543000,9/7/2024,JAPAN
25854,15,743000,1/27/2024,CHINA
25855,52,814000,1/22/2024,CHINA
25856,52,1212000,7/26/2024,FRANCE
25857,58,1600000,4/16/2024,ISRAEL
25858,14,1653000,11/9/2023,INDIA
25859,75,1072000,10/23/2024,ISRAEL
25860,35,1830000,4/3/2023,ISRAEL
25861,45,1215000,9/17/2024,ISRAEL
25862,23,721000,10/2/2024,CHINA
25863,7,1037000,10/11/2024,FRANCE
25864,14,1925000,1/7/2025,FRANCE
25865,48,1081000,3/9/2024,INDIA
25866,46,1993000,5/25/2023,FRANCE
25867,64,1310000,2/26/2024,CHINA
25868,66,1276000,9/22/2023,CHINA
25869,74,1331000,6/17/2023,JAPAN
25870,40,1427000,10/26/2024,JAPAN
25871,46,1190000,1/28/2024,CHINA
25872,46,1350000,8/17/2024,JAPAN
25873,31,589000,10/28/2023,ISRAEL
25874,50,1391000,6/4/2023,CANADA
25875,72,354000,9/6/2023,SPAIN
25876,7,1736000,2/20/2024,CHINA
25877,26,1506000,5/18/2023,SPAIN
25878,32,264000,8/20/2023,GERMANY
25879,49,1737000,6/2/2024,CHINA
25880,10,226000,10/7/2023,FRANCE
25881,22,981000,3/5/2024,GERMANY
25882,44,1298000,12/22/2023,INDIA
25883,55,1452000,5/1/2024,CHINA
25884,33,1709000,5/8/2024,NORTH KOREA
25885,32,1731000,6/27/2024,GERMANY
25886,42,1916000,1/1/2025,FRANCE
25887,29,1142000,8/25/2024,ISRAEL
25888,21,1965000,10/13/2023,SPAIN
25889,49,998000,8/2/2024,JAPAN
25890,18,1150000,6/2/2023,CHINA
